src,dest,EdgeType
ABL1-TRAN,ABL1-PROT,Gene-TRAN-Gene-PROT
ABL2-TRAN,ABL2-PROT,Gene-TRAN-Gene-PROT
ACAA1-TRAN,ACAA1-PROT,Gene-TRAN-Gene-PROT
ACACA-TRAN,ACACA-PROT,Gene-TRAN-Gene-PROT
ACACB-TRAN,ACACB-PROT,Gene-TRAN-Gene-PROT
ACADL-TRAN,ACADL-PROT,Gene-TRAN-Gene-PROT
ACADM-TRAN,ACADM-PROT,Gene-TRAN-Gene-PROT
ACOX1-TRAN,ACOX1-PROT,Gene-TRAN-Gene-PROT
ACOX2-TRAN,ACOX2-PROT,Gene-TRAN-Gene-PROT
ACOX3-TRAN,ACOX3-PROT,Gene-TRAN-Gene-PROT
ACSBG1-TRAN,ACSBG1-PROT,Gene-TRAN-Gene-PROT
ACSBG2-TRAN,ACSBG2-PROT,Gene-TRAN-Gene-PROT
ACSL1-TRAN,ACSL1-PROT,Gene-TRAN-Gene-PROT
ACSL3-TRAN,ACSL3-PROT,Gene-TRAN-Gene-PROT
ACSL4-TRAN,ACSL4-PROT,Gene-TRAN-Gene-PROT
ACSL5-TRAN,ACSL5-PROT,Gene-TRAN-Gene-PROT
ACSL6-TRAN,ACSL6-PROT,Gene-TRAN-Gene-PROT
ACTA2-TRAN,ACTA2-PROT,Gene-TRAN-Gene-PROT
ACTB-TRAN,ACTB-PROT,Gene-TRAN-Gene-PROT
ACTG1-TRAN,ACTG1-PROT,Gene-TRAN-Gene-PROT
ACVR1-TRAN,ACVR1-PROT,Gene-TRAN-Gene-PROT
ACVR1B-TRAN,ACVR1B-PROT,Gene-TRAN-Gene-PROT
ACVR1C-TRAN,ACVR1C-PROT,Gene-TRAN-Gene-PROT
ACVR2A-TRAN,ACVR2A-PROT,Gene-TRAN-Gene-PROT
ACVR2B-TRAN,ACVR2B-PROT,Gene-TRAN-Gene-PROT
ADAM17-TRAN,ADAM17-PROT,Gene-TRAN-Gene-PROT
ADCY1-TRAN,ADCY1-PROT,Gene-TRAN-Gene-PROT
ADCY10-TRAN,ADCY10-PROT,Gene-TRAN-Gene-PROT
ADCY2-TRAN,ADCY2-PROT,Gene-TRAN-Gene-PROT
ADCY3-TRAN,ADCY3-PROT,Gene-TRAN-Gene-PROT
ADCY4-TRAN,ADCY4-PROT,Gene-TRAN-Gene-PROT
ADCY5-TRAN,ADCY5-PROT,Gene-TRAN-Gene-PROT
ADCY6-TRAN,ADCY6-PROT,Gene-TRAN-Gene-PROT
ADCY7-TRAN,ADCY7-PROT,Gene-TRAN-Gene-PROT
ADCY8-TRAN,ADCY8-PROT,Gene-TRAN-Gene-PROT
ADCY9-TRAN,ADCY9-PROT,Gene-TRAN-Gene-PROT
ADCYAP1-TRAN,ADCYAP1-PROT,Gene-TRAN-Gene-PROT
ADCYAP1R1-TRAN,ADCYAP1R1-PROT,Gene-TRAN-Gene-PROT
ADGRB1-TRAN,ADGRB1-PROT,Gene-TRAN-Gene-PROT
ADIPOQ-TRAN,ADIPOQ-PROT,Gene-TRAN-Gene-PROT
ADIPOR1-TRAN,ADIPOR1-PROT,Gene-TRAN-Gene-PROT
ADIPOR2-TRAN,ADIPOR2-PROT,Gene-TRAN-Gene-PROT
ADORA1-TRAN,ADORA1-PROT,Gene-TRAN-Gene-PROT
ADORA2A-TRAN,ADORA2A-PROT,Gene-TRAN-Gene-PROT
ADORA2B-TRAN,ADORA2B-PROT,Gene-TRAN-Gene-PROT
ADORA3-TRAN,ADORA3-PROT,Gene-TRAN-Gene-PROT
ADRA1A-TRAN,ADRA1A-PROT,Gene-TRAN-Gene-PROT
ADRA1B-TRAN,ADRA1B-PROT,Gene-TRAN-Gene-PROT
ADRA1D-TRAN,ADRA1D-PROT,Gene-TRAN-Gene-PROT
ADRA2A-TRAN,ADRA2A-PROT,Gene-TRAN-Gene-PROT
ADRA2B-TRAN,ADRA2B-PROT,Gene-TRAN-Gene-PROT
ADRA2C-TRAN,ADRA2C-PROT,Gene-TRAN-Gene-PROT
ADRB1-TRAN,ADRB1-PROT,Gene-TRAN-Gene-PROT
ADRB2-TRAN,ADRB2-PROT,Gene-TRAN-Gene-PROT
ADRB3-TRAN,ADRB3-PROT,Gene-TRAN-Gene-PROT
AFDN-TRAN,AFDN-PROT,Gene-TRAN-Gene-PROT
AFP-TRAN,AFP-PROT,Gene-TRAN-Gene-PROT
AGAP2-TRAN,AGAP2-PROT,Gene-TRAN-Gene-PROT
AGER-TRAN,AGER-PROT,Gene-TRAN-Gene-PROT
AGRP-TRAN,AGRP-PROT,Gene-TRAN-Gene-PROT
AGT-TRAN,AGT-PROT,Gene-TRAN-Gene-PROT
AGTR1-TRAN,AGTR1-PROT,Gene-TRAN-Gene-PROT
AIFM2-TRAN,AIFM2-PROT,Gene-TRAN-Gene-PROT
AIM2-TRAN,AIM2-PROT,Gene-TRAN-Gene-PROT
AJUBA-TRAN,AJUBA-PROT,Gene-TRAN-Gene-PROT
